ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
0.587,0.578,0.386,0.568,0.647,0.293,0.655,0.795,0.630,0
0.644,0.441,0.314,0.439,0.515,0.357,0.377,0.203,0.520,0
0.389,0.471,0.506,0.524,0.562,0.143,0.250,0.401,0.220,0
0.726,0.716,0.506,0.522,0.752,0.149,0.467,0.659,0.242,0
0.611,0.533,0.238,0.270,0.495,0.495,0.410,0.470,0.585,0
0.636,0.581,0.278,0.418,0.522,0.342,0.310,0.403,0.627,1
0.470,0.549,0.301,0.538,0.499,0.231,0.565,0.176,0.395,1
0.818,0.087,0.656,0.671,0.369,0.432,0.563,0.286,0.579,1
0.424,0.464,0.460,0.542,0.616,0.388,0.398,0.449,0.440,1
0.322,0.493,0.841,0.492,0.656,0.589,0.471,0.503,0.592,1